,Table 5. Gender Inequality Index,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,SDG3.1,,SDG3.7,,SDG5.5,,SDG4.4,,,,,,,
,,Gender Inequality Index,,,,Maternal mortality ratio,,Adolescent birth rate,,Share of seats in parliament,,Population with at least some secondary education,,,,Labour force participation rate ,,,a
,,Value,,Rank,,"(deaths per 100,000 live births)",,"(births per 1,000 women ages 15–19)",,(% held by women),,(% ages 25 and older),,,,(% ages 15 and older),,,
HDI rank,Country,,,,,,,,,,,Female,,Male,,Female,,Male,
,,2022,,2022,,2020,,2022,,2022,,2022,b,2022,b,2022,,2022,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
1,Switzerland,0.018,,3,,7,,2.2,,39.0,,96.9,c,97.5,c,61.5,,71.9,
2,Norway,0.012,,2,,2,,2.2,,45.0,,99.1,c,99.3,c,62.5,,69.6,
3,Iceland,0.039,,9,,3,,5.1,,47.6,,99.8,,99.7,,70.7,,78.3,
4,"Hong Kong, China (SAR)",..,,..,,..,,1.6,,..,,77.9,,84.1,,52.9,,64.7,
5,Denmark,0.009,,1,,5,,50.0,,43.6,,95.1,,95.2,,59.4,,67.4,
5,Sweden,0.023,,4,,5,,3.3,,46.4,,92.4,c,92.7,c,63.7,,70.4,
7,Germany,0.071,,19,,4,,7.2,,34.8,,95.4,,95.9,,56.1,,66.6,
7,Ireland,0.072,,20,,5,,5.9,,27.4,,88.6,c,86.4,c,59.4,,70.5,
9,Singapore,0.036,,8,,7,,2.5,,29.1,,80.5,,85.9,,63.4,,77.0,
10,Australia,0.063,,17,,3,,7.7,,44.5,,94.6,,94.4,,62.3,,71.1,
10,Netherlands,0.025,,5,,4,,2.7,,37.8,,89.8,,92.7,,63.6,,72.4,
12,Belgium,0.044,,11,,5,,5.1,,44.3,,88.7,c,90.7,c,50.8,,59.5,
12,Finland,0.032,,6,,8,,4.1,,45.5,,99.2,,98.9,,58.2,,64.2,
12,Liechtenstein,..,,..,,..,,3.0,,28.0,,..,,..,,52.8,,67.3,
15,United Kingdom,0.094,,28,,10,,10.0,,31.3,,99.8,,99.8,,59.1,,68.0,
16,New Zealand,0.082,,23,,7,,11.8,,50.4,,82.0,,81.8,,66.9,,75.9,
17,United Arab Emirates,0.035,,7,,9,,2.8,,50.0,,82.0,,86.1,,55.3,,89.5,
18,Canada,0.069,,18,,11,,6.6,,35.0,,97.8,d,97.6,d,61.5,,69.5,
19,Korea (Republic of),0.062,,16,,8,,2.1,,18.6,,83.8,c,93.5,c,55.0,,73.7,
20,Luxembourg,0.043,,10,,6,,4.2,,33.3,,96.6,d,89.3,d,58.0,,65.1,
20,United States,0.180,,44,,21,,15.1,,28.1,,95.4,,95.1,,56.8,,68.0,
22,Austria,0.048,,12,,5,,5.2,,41.0,,100.0,d,100.0,d,56.6,,66.7,
22,Slovenia,0.049,,13,,5,,4.4,,33.1,,97.8,c,98.8,c,54.3,,63.6,
24,Japan,0.078,,22,,4,,2.8,,15.4,,98.2,,99.1,,54.2,,71.4,
25,Israel,0.092,,26,,3,,7.4,,23.3,,92.5,c,94.5,c,61.2,,68.5,
25,Malta,0.117,,35,,3,,11.5,,27.8,,82.2,,88.1,,56.1,,71.2,
27,Spain,0.059,,15,,3,,6.3,,41.4,,78.5,,83.2,,53.2,,62.9,
28,France,0.084,,24,,8,,9.4,,36.4,,84.3,c,88.3,c,52.5,,60.2,
29,Cyprus,0.253,,62,,68,,6.8,,14.3,,81.1,,84.8,,59.6,,71.1,
30,Italy,0.057,,14,,5,,3.9,,33.0,,78.6,,86.1,,40.7,,58.1,
31,Estonia,0.093,,27,,5,,8.1,,25.7,,97.6,,98.1,,60.6,,71.4,
32,Czechia,0.113,,32,,3,,67.0,,23.5,,99.8,c,99.8,c,52.2,,67.9,
33,Greece,0.120,,37,,8,,8.3,,21.0,,69.9,,77.8,,44.7,,60.4,
34,Bahrain,0.181,,45,,16,,8.7,,22.5,,79.9,,83.1,,42.4,,85.8,
35,Andorra,..,,..,,..,,5.9,,46.4,,81.7,,84.6,,..,,..,
36,Poland,0.105,,31,,2,,9.2,,27.5,,86.5,,90.7,,50.1,,65.5,
37,Latvia,0.142,,39,,18,,10.5,,30.0,,99.8,c,99.3,c,55.6,,67.9,
37,Lithuania,0.098,,30,,9,,9.7,,28.4,,95.5,,97.9,,58.8,,67.7,
39,Croatia,0.087,,25,,5,,8.2,,31.8,,95.5,d,97.4,d,46.9,,58.2,
40,Qatar,0.212,,54,,8,,6.9,,4.4,,81.8,c,71.4,c,61.7,,95.3,
40,Saudi Arabia,0.229,,55,,16,,11.6,,19.9,,71.3,,80.9,,34.5,,79.6,
42,Portugal,0.076,,21,,12,,7.1,,37.0,,59.7,,61.9,,54.7,,63.1,
43,San Marino,..,,..,,..,,3.7,,33.3,,81.8,e,84.3,e,70.4,,70.6,
44,Chile,0.190,,49,,15,,22.8,,32.7,,82.2,,84.4,,50.1,,70.6,
45,Slovakia,0.184,,46,,5,,26.6,,21.3,,98.8,c,99.1,c,56.2,,67.3,
45,Türkiye,0.259,,63,,17,,15.7,,17.4,,59.1,c,78.1,c,35.1,,71.4,
47,Hungary,0.230,,56,,15,,21.9,,14.1,,97.6,,98.8,,53.7,,67.8,
48,Argentina,0.292,,71,,45,,37.9,,44.4,,73.6,d,71.6,d,52.1,,71.7,
49,Kuwait,0.199,,51,,7,,5.3,,6.3,,61.8,c,56.5,c,44.4,,88.5,
50,Montenegro,0.114,,33,,6,,9.7,,27.2,,70.8,c,83.7,c,44.4,,57.8,
51,Saint Kitts and Nevis,..,,..,,..,,36.8,,31.3,,..,,..,,..,,..,
52,Uruguay,0.240,,60,,19,,35.2,,26.9,,62.5,,59.3,,55.7,,71.4,
53,Romania,0.230,,56,,10,,35.4,,18.9,,89.4,c,94.0,c,42.3,,62.0,
54,Antigua and Barbuda,..,,..,,21,,32.3,,31.4,,..,,..,,..,,..,
55,Brunei Darussalam,0.279,,68,,44,,9.5,,9.1,,70.9,,71.5,,54.9,,71.7,
56,Russian Federation,0.178,,43,,14,,14.5,,17.8,,98.3,,98.9,,55.5,,70.3,
57,Bahamas,0.333,,79,,77,,25.1,,20.0,,86.8,c,90.0,c,69.0,,73.9,
57,Panama,0.392,,95,,50,,68.5,,22.5,,67.6,,65.6,,49.7,,77.0,
59,Oman,0.267,,66,,17,,9.7,,9.9,,93.3,,98.7,,35.0,,83.8,
60,Georgia,0.283,,69,,28,,29.7,,19.0,,98.2,,98.7,,55.5,,73.5,
60,Trinidad and Tobago,0.264,,64,,27,,37.7,,32.4,,86.0,d,81.9,d,47.3,,62.4,
62,Barbados,0.289,,70,,39,,41.9,,32.7,,95.7,d,86.3,d,58.2,,65.1,
63,Malaysia,0.202,,52,,21,,9.1,,14.5,,76.1,c,79.2,c,55.1,,80.5,
64,Costa Rica,0.232,,58,,22,,35.7,,47.4,,50.2,,48.1,,50.1,,72.9,
65,Serbia,0.119,,36,,10,,14.4,,36.6,,89.9,c,96.1,c,51.0,,66.1,
66,Thailand,0.310,,74,,29,,31.6,,14.0,,49.3,c,53.0,c,59.9,,76.0,
67,Kazakhstan,0.177,,42,,13,,20.9,,24.7,,100.0,c,100.0,c,63.3,,74.6,
67,Seychelles,..,,..,,3,,52.1,,22.9,,..,,..,,65.2,,65.3,
69,Belarus,0.096,,29,,1,,11.2,,34.7,,98.4,c,99.5,c,65.8,,75.3,
,HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
70,Bulgaria,0.206,,53,,7,,38.2,,24.2,,94.9,,96.5,,50.6,,63.1,
71,Palau,..,,..,,..,,42.1,,6.9,,96.9,f,97.3,f,59.8,,73.6,
72,Mauritius,0.369,,87,,84,,24.0,,20.0,,66.5,c,72.4,c,42.2,,68.4,
73,Grenada,..,,..,,21,,32.1,,31.0,,..,,..,,37.7,,54.3,
74,Albania,0.116,,34,,8,,14.5,,35.7,,82.2,d,86.5,d,56.1,,69.9,
75,China,0.186,,47,,23,,11.1,,24.9,,79.7,d,86.4,d,53.8,,74.5,
76,Armenia,0.198,,50,,27,,18.3,,35.5,,96.0,,97.1,,62.8,,71.8,
77,Mexico,0.352,,84,,59,,53.7,,49.8,,63.7,,65.4,,45.0,,76.3,
78,Iran (Islamic Republic of),0.484,,121,,22,,29.7,,5.6,,73.1,c,77.3,c,13.6,,67.5,
78,Sri Lanka,0.376,,90,,29,,15.4,,5.3,,80.6,,83.3,,29.7,,70.7,
80,Bosnia and Herzegovina,0.148,,40,,6,,9.4,,17.5,,82.7,,94.0,,41.1,,61.8,
81,Saint Vincent and the Grenadines,..,,..,,62,,46.5,,18.2,,43.6,g,41.8,g,..,,..,
82,Dominican Republic,0.433,,107,,107,,63.2,,25.7,,67.5,,64.2,,50.9,,76.9,
83,Ecuador,0.371,,89,,66,,62.1,,38.7,,54.1,,54.2,,53.6,,76.9,
83,North Macedonia,0.134,,38,,3,,16.1,,41.7,,61.9,,75.1,,42.2,,64.1,
85,Cuba,0.300,,73,,39,,48.9,,53.4,,78.6,c,81.8,c,55.5,,84.0,
86,Moldova (Republic of),0.156,,41,,12,,27.2,,40.6,,96.3,c,98.1,c,71.5,,73.7,
87,Maldives,0.328,,76,,57,,6.8,,4.6,,46.9,d,46.3,d,53.3,,78.2,
87,Peru,0.360,,85,,69,,56.1,,40.0,,55.6,,66.7,,66.7,,82.4,
89,Azerbaijan,0.329,,77,,41,,40.1,,18.3,,93.6,c,97.6,c,61.9,,69.6,
89,Brazil,0.391,,94,,72,,43.6,,17.5,,67.4,,65.0,,53.8,,73.6,
91,Colombia,0.392,,95,,75,,57.6,,29.2,,59.7,,57.1,,51.1,,76.2,
92,Libya,0.266,,65,,72,,7.0,,16.5,,62.2,h,45.3,h,32.8,,59.9,
93,Algeria,0.460,,114,,78,,11.6,,7.0,,42.9,c,46.8,c,17.6,,65.5,
94,Turkmenistan,..,,..,,5,,21.2,,25.7,,98.1,c,98.4,c,..,,..,
95,Guyana,0.416,,104,,112,,64.6,,35.4,,58.7,d,56.4,d,37.8,,53.4,
96,Mongolia,0.297,,72,,39,,25.0,,17.1,,79.3,,73.0,,53.5,,68.4,
97,Dominica,..,,..,,..,,37.9,,34.4,,..,,..,,..,,..,
98,Tonga,0.462,,115,,126,,19.2,,3.7,,93.7,d,93.4,d,43.0,,54.9,
99,Jordan,0.449,,111,,41,,24.9,,13.3,,77.4,,84.2,,13.8,,60.7,
100,Ukraine,0.188,,48,,17,,15.2,,20.3,,95.7,d,93.5,d,47.8,,62.9,
101,Tunisia,0.237,,59,,37,,6.6,,26.3,,40.0,c,47.2,c,29.3,,71.8,
102,Marshall Islands,..,,..,,..,,57.5,,6.1,,91.6,i,92.5,i,37.3,,61.2,
102,Paraguay,0.429,,106,,71,,69.9,,16.8,,54.3,,53.3,,59.1,,82.4,
104,Fiji,0.332,,78,,38,,26.1,,19.6,,66.1,,61.3,,37.3,,77.7,
105,Egypt,0.389,,93,,17,,43.6,,22.8,,85.9,c,78.7,c,15.3,,69.1,
106,Uzbekistan,0.242,,61,,30,,15.7,,29.1,,100.0,,100.0,,39.9,,73.1,
107,Viet Nam,0.378,,91,,124,,35.0,,30.3,,61.5,c,69.5,c,68.5,,77.8,
108,Saint Lucia,0.347,,82,,73,,36.3,,24.1,,50.0,c,44.0,c,62.7,,75.8,
109,Lebanon,0.365,,86,,21,,20.0,,6.3,,54.7,j,61.1,g,29.8,,70.2,
110,South Africa,0.401,,99,,127,,60.9,,45.4,k,83.0,,84.9,,50.8,,63.5,
111,"Palestine, State of",,,,,20,,42.9,,,,67.9,,67.6,,18.6,,70.7,
112,Indonesia,0.439,,109,,173,,32.9,,21.9,,51.0,,58.2,,52.5,,81.5,
113,Philippines,0.388,,92,,78,,48.1,,27.5,,74.4,c,69.9,c,44.1,,68.8,
114,Botswana,0.483,,120,,186,,48.3,,11.1,,92.1,,92.5,,60.1,,69.7,
115,Jamaica,0.350,,83,,99,,32.0,,31.0,,74.8,d,67.0,d,56.0,,69.9,
116,Samoa,0.406,,101,,59,,43.8,,13.0,,92.4,l,87.0,l,49.8,,80.6,
117,Kyrgyzstan,0.345,,81,,50,,33.8,,20.5,,92.4,c,94.4,c,52.5,,78.0,
118,Belize,0.454,,113,,130,,56.6,,19.6,,54.5,,49.8,,48.6,,75.6,
,MEDIUM HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
119,Venezuela (Bolivarian Republic of),0.521,,134,,259,,82.0,,22.2,m,81.0,d,76.4,d,45.2,,70.6,
120,Bolivia (Plurinational State of),0.418,,105,,161,,63.1,,48.2,,58.4,,69.5,,71.8,,85.0,
120,Morocco,0.440,,110,,72,,25.5,,89.0,,31.9,,37.9,,19.8,,69.6,
122,Nauru,..,,..,,..,,71.1,,10.5,,..,,..,,56.8,,73.6,
123,Gabon,0.524,,136,,227,,89.8,,18.1,,70.4,,55.3,,34.7,,56.2,
124,Suriname,0.405,,100,,96,,55.2,,29.4,,45.5,e,42.3,e,42.3,,61.7,
125,Bhutan,0.334,,80,,60,,18.5,,15.7,,26.7,g,34.3,g,53.5,,73.5,
126,Tajikistan,0.269,,67,,17,,44.9,,26.6,,93.6,d,94.0,d,33.3,,52.1,
127,El Salvador,0.369,,87,,43,,54.5,,27.4,,42.7,,51.4,,46.4,,77.7,
128,Iraq,0.562,,143,,76,,61.2,,28.9,,25.3,d,40.4,d,10.8,,68.2,
129,Bangladesh,0.498,,127,,123,,73.3,,20.9,,43.7,c,50.5,c,39.2,,81.4,
130,Nicaragua,0.397,,97,,78,,84.0,,51.6,,49.4,c,40.3,c,48.6,,81.1,
131,Cabo Verde,0.325,,75,,42,,54.0,,38.9,,28.8,g,31.7,g,46.7,,62.8,
132,Tuvalu,..,,..,,..,,31.7,,6.3,,58.1,,58.5,,20.0,,29.6,
133,Equatorial Guinea,..,,..,,212,,136.4,,27.0,,,,,,,,,
134,India,0.437,,108,,103,,16.3,,14.6,,41.0,,58.7,,28.3,,76.1,
135,Micronesia (Federated States of),..,,..,,74,,35.7,,7.1,,,,,,45.0,,66.0,
136,Guatemala,0.474,,117,,96,,63.2,,19.4,,31.1,c,37.8,c,41.5,,82.8,
137,Kiribati,..,,..,,76,,39.6,,6.7,,,,,,16.1,,73.0,
138,Honduras,0.413,,102,,72,,71.3,,27.3,,34.8,c,31.4,c,49.6,,81.1,
139,Lao People's Democratic Republic,0.467,,116,,126,,71.8,,22.0,,18.7,d,30.4,d,61.5,,70.8,
140,Vanuatu,..,,..,,94,,63.2,,1.9,,,,,,26.7,,36.4,
141,Sao Tome and Principe,..,,..,,146,,77.4,,14.5,,42.9,n,52.8,n,..,,,
142,Eswatini (Kingdom of),0.491,,124,,240,,68.4,,21.2,,35.3,,37.3,,44.9,,51.5,
142,Namibia,0.450,,112,,215,,63.1,,35.6,,42.1,d,45.0,d,54.1,,61.2,
144,Myanmar,0.479,,119,,179,,32.8,,15.0,m,39.2,d,49.9,d,44.2,,78.6,
145,Ghana,0.512,,130,,263,,63.4,,14.5,,59.1,d,74.0,d,72.1,,73.1,
146,Kenya,0.533,,139,,530,,62.6,,24.8,,54.6,,63.5,,62.9,,72.6,
146,Nepal,0.495,,126,,174,,63.4,,33.8,,26.0,d,42.8,d,27.9,,55.0,
148,Cambodia,0.486,,122,,218,,45.7,,19.3,,16.4,,29.0,,73.7,,85.8,
149,Congo,0.572,,144,,282,,101.2,,15.9,,32.1,d,50.0,d,44.1,,63.9,
150,Angola,0.520,,133,,222,,135.8,,33.6,,21.3,g,37.4,g,74.7,,78.2,
151,Cameroon,0.555,,142,,438,,108.6,,31.1,,24.5,d,39.3,d,66.8,,76.8,
152,Comoros,..,,..,,217,,56.1,,16.7,,,,,,41.1,,59.4,
153,Zambia,0.526,,137,,135,,116.1,,15.1,,33.7,d,51.4,d,54.2,,66.4,
154,Papua New Guinea,0.604,,151,,192,,54.3,,1.7,,26.3,d,37.5,d,46.0,,48.0,
155,Timor-Leste,0.415,,103,,204,,33.3,,40.0,,33.5,c,39.8,c,27.9,,41.4,
156,Solomon Islands,..,,..,,122,,59.4,,8.0,,,,,,82.9,,86.0,
157,Syrian Arab Republic,0.487,,123,,30,,38.1,,11.2,,24.1,j,32.0,j,14.4,,68.9,
158,Haiti,0.621,,158,,350,,51.8,,2.7,o,28.0,d,36.9,d,48.8,,66.0,
159,Uganda,0.527,,138,,284,,105.7,,33.8,,10.8,c,20.4,c,74.5,,84.2,
159,Zimbabwe,0.519,,132,,357,,92.6,,33.6,,63.4,c,73.6,c,60.0,,71.6,
,LOW HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
161,Nigeria,0.677,,165,,"1,047",,99.6,,4.5,,42.4,,57.8,,77.0,,85.7,
161,Rwanda,0.400,,98,,259,,32.2,,54.7,,14.6,,18.7,,54.8,,66.2,
163,Togo,0.578,,147,,399,,77.0,,18.7,,13.5,c,33.1,c,79.8,,98.6,
164,Mauritania,0.603,,150,,464,,76.8,,20.3,,16.1,d,27.6,d,31.0,,65.7,
164,Pakistan,0.522,,135,,154,,41.2,,20.1,,22.0,c,26.9,c,24.5,,80.7,
166,Côte d'Ivoire,0.612,,156,,480,,103.3,,15.6,,13.5,d,29.3,d,54.5,,71.2,
167,Tanzania (United Republic of),0.513,,131,,238,,123.4,,36.9,,9.3,c,14.3,c,75.5,,84.5,
168,Lesotho,0.552,,141,,566,,89.1,,26.0,,34.1,c,29.7,c,51.6,,65.0,
169,Senegal,0.505,,129,,261,,64.6,,44.2,,9.2,c,19.0,c,39.3,,68.4,
170,Sudan,0.548,,140,,270,,77.6,,31.0,p,17.0,,20.4,,28.0,,69.1,
171,Djibouti,..,,..,,234,,22.7,,26.2,,..,,..,,18.2,,48.1,
172,Malawi,0.579,,148,,381,,117.2,,22.9,,12.7,,26.2,,63.1,,74.6,
173,Benin,0.649,,160,,523,,90.8,,7.4,,9.2,c,21.5,c,51.6,,67.8,
174,Gambia,0.585,,149,,458,,60.7,,8.6,,26.0,,40.7,,59.0,,64.5,
175,Eritrea,..,,..,,322,,63.6,,22.0,o,..,,..,,..,,..,
176,Ethiopia,0.494,,125,,267,,66.5,,38.9,,7.5,c,13.1,c,57.6,,79.2,
177,Liberia,0.656,,161,,652,,122.0,,9.7,,19.7,d,45.8,d,43.5,,50.1,
177,Madagascar,0.574,,145,,392,,118.1,,17.8,,15.9,,21.2,,78.8,,88.9,
179,Guinea-Bissau,0.631,,159,,725,,85.8,,13.7,,10.9,,24.6,,52.1,,66.1,
180,Congo (Democratic Republic of the),0.605,,152,,547,,107.5,,14.8,,38.8,c,65.7,c,60.0,,66.4,
181,Guinea,0.609,,154,,553,,112.2,,29.6,,7.5,c,20.0,c,44.6,,67.0,
182,Afghanistan,0.665,,162,,620,,79.7,,27.2,m,7.0,,24.1,,23.3,,77.1,
183,Mozambique,0.477,,118,,127,,165.1,,42.4,,17.9,,25.1,,73.9,,80.1,
184,Sierra Leone,0.613,,157,,443,,97.9,,12.3,,14.5,c,33.9,c,48.3,,55.9,
185,Burkina Faso,0.577,,146,,264,,108.7,,16.9,,11.2,c,20.3,c,27.5,,41.0,
186,Yemen,0.820,,166,,183,,52.5,,0.3,,23.7,,38.2,,5.8,,64.7,
187,Burundi,0.499,,128,,494,,52.6,,38.9,,8.2,c,13.8,c,78.0,,79.1,
188,Mali,0.607,,153,,440,,147.7,,28.6,,8.0,,15.5,,51.5,,85.0,
189,Chad,0.671,,163,,"1,063",,135.7,,25.9,,3.7,c,15.0,c,51.1,,75.0,
189,Niger,0.609,,154,,441,,168.0,,25.9,,2.6,c,4.5,c,64.6,,96.5,
191,Central African Republic,..,,..,,835,,159.0,,12.9,,14.2,,31.8,,..,,..,
192,South Sudan,..,,..,,"1,223",,97.4,,32.3,,26.5,q,36.4,q,..,,..,
193,Somalia,0.674,,164,,621,,116.1,,20.7,,4.4,,17.8,,22.3,,49.3,
,OTHER COUNTRIES OR TERRITORIES,,,,,,,,,,,,,,,,,,
,Korea (Democratic People's Rep. of),..,,..,,107,,2.4,,17.6,,..,,..,,..,,..,
,Monaco,..,,..,,..,,6.9,,33.3,,..,,..,,39.5,,56.6,
,,,,,,,,,,,,,,,,,,,
,Human development groups,,,,,,,,,,,,,,,,,,
,Very high human development,0.150,,—,,15,,13.5,,29.3,,87.7,,90.1,,54.0,,69.4,
,High human development,0.339,,—,,65,,28.7,,26.0,,74.0,,78.4,,49.8,,74.2,
,Medium human development,0.476,,—,,152,,37.8,,23.0,,40.5,,55.6,,34.2,,75.7,
,Low human development,0.579,,—,,497,,88.3,,24.0,,21.3,,31.9,,50.8,,77.5,
,,,,,,,,,,,,,,,,,,,
,Developing countries,0.485,,—,,235,,45.9,,24.3,,56.8,,65.4,,44.9,,75.3,
,,,,,,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,,,,,,
,Arab States,0.523,,—,,128,,44.2,,18.3,,51.0,,57.4,,19.9,,70.2,
,East Asia and the Pacific,0.340,,—,,78,,21.4,,21.0,,72.5,,79.0,,54.0,,75.4,
,Europe and Central Asia,0.224,,—,,21,,19.5,,26.0,,83.7,,89.9,,45.4,,69.6,
,Latin America and the Caribbean,0.386,,—,,85,,52.3,,34.1,,64.4,,64.2,,51.6,,75.3,
,South Asia,0.478,,—,,132,,27.9,,17.9,,40.9,,55.7,,28.1,,76.3,
,Sub-Saharan Africa,0.565,,—,,516,,99.3,,26.4,,30.9,,42.0,,63.9,,76.4,
,,,,,,,,,,,,,,,,,,,
,Least developed countries,0.556,,—,,354,,92.4,,25.1,,23.4,,33.8,,50.4,,75.5,
,Small island developing states,0.457,,—,,203,,50.6,,27.0,,58.8,,62.3,,51.4,,69.8,
,,,,,,,,,,,,,,,,,,,
,Organisation for Economic Co-operation and Development,0.194,,—,,21,,18.5,,32.7,,86.7,,89.3,,53.0,,68.7,
,,,,,,,,,,,,,,,,,,,
,World,0.462,,—,,215,,41.9,,26.2,,64.1,,71.0,,46.8,,73.9,
,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,
,a. Updated by HDRO based on data from International Labour Organization (2023).,,,,,,,,,,,,,,,,,,
,b. Data refer to 2022 or the most recent year available.,,,,,,,,,,,,,,,,,,
,c. Updated by HDRO based on data from UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,d. Updated by HDRO based on data from Barro and Lee (2018) and UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,e. Refers to 2018 based on UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,f. Refers to 2013 based on UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,g. Updated by HDRO based on data from UNESCO Institute for Statistics (2023) and estimates using cross-country regression.,,,,,,,,,,,,,,,,,,
,h. Updated by HDRO based on data from Barro and Lee (2018) and estimates using cross-country regression.,,,,,,,,,,,,,,,,,,
,i. Refers to 2011 based on UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,"j. HDRO estimate based on data from Robert Barro and Jong-Wha Lee, ICF Macro Demographic and Health Surveys, the Organisation for Economic Co-operation and Development, United Nations Children’s Fund (UNICEF) Multiple Indicator Cluster Surveys and the United Nations Educational, Scientific and Cultural Organization Institute for Statistics.",,,,,,,,,,,,,,,,,,
,k. Excludes the 36 special rotating delegates appointed on an ad hoc basis.,,,,,,,,,,,,,,,,,,
,l. Refers to 2019 based on UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,m. Refers to 2021.,,,,,,,,,,,,,,,,,,
,n. Updated by HDRO based on data from UNESCO Institute for Statistics (2023) and UNICEF Multiple Indicator Cluster Surveys for various years.,,,,,,,,,,,,,,,,,,
,o. Refers to 2019.,,,,,,,,,,,,,,,,,,
,p. Refers to 2018.,,,,,,,,,,,,,,,,,,
,q. Refers to 2008 based on UNESCO Institute for Statistics (2023).,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Definitions,,,,,,,,,,,,,,,,,,
,"Gender Inequality Index: A composite measure reflecting inequality in achievement between women and men in three dimensions: reproductive health, empowerment and the labour market. See Technical note 4 at http://hdr.undp.org/sites/default/files/hdr2023_technical_notes.pdf for details on how the Gender Inequality Index is calculated.",,,,,,,,,,,,,,,,,,
,"Maternal mortality ratio: Number of deaths due to pregnancy-related causes per 100,000 live births.",,,,,,,,,,,,,,,,,,
,"Adolescent birth rate: Number of births to women ages 15–19 per 1,000 women ages 15–19.",,,,,,,,,,,,,,,,,,
,"Share of seats in parliament: Proportion of seats held by women in the national parliament expressed as a percentage of total seats. For countries with a bicameral legislative system, the share of seats is calculated based on both houses.",,,,,,,,,,,,,,,,,,
,Population with at least some secondary education: Percentage of the population ages 25 and older that has reached (but not necessarily completed) a secondary level of education.,,,,,,,,,,,,,,,,,,
,"Labour force participation rate: Proportion of the working-age population (ages 15 and older) that engages in the labour market, either by working or actively looking for work, expressed as a percentage of the working-age population.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Main data sources,,,,,,,,,,,,,,,,,,
,Column 1: HDRO calculations based on data in columns 3–9.,,,,,,,,,,,,,,,,,,
,Column 2: Calculated based on data in column 1.,,,,,,,,,,,,,,,,,,
,"Column 3: WHO, UNICEF, UNFPA, World Bank Group and United Nations Population Division (2023). ",,,,,,,,,,,,,,,,,,
,Column 4: UNDESA (2022). ,,,,,,,,,,,,,,,,,,
,Column 5: IPU (2023). ,,,,,,,,,,,,,,,,,,
,"Columns 6 and 7: Barro and Lee (2018), ICF Macro Demographic and Health Surveys, OECD (2023), UNESCO Institute for Statistics (2023) and UNICEF Multiple Indicator Cluster Surveys.",,,,,,,,,,,,,,,,,,
,Columns 8 and 9: ILO (2023).,,,,,,,,,,,,,,,,,,
